Number,Owner,Balance,OpenedAt
52832339,Trinh Duc Anh,490285.24,2024-12-07
24117705,Pham Tuan Kiet,7398257.7,2025-08-11
25753657,Mai Xuan Loc,9144818.44,2025-06-26
98271134,Bui Thi Lan,3621156.36,2025-04-16
86940576,Vu Thi Nga,9160653.79,2024-07-04
18916395,Duong Hoang Linh,4253358.53,2025-07-14
43177955,Ly Duc Anh,6579387.31,2025-03-29
83056976,Pham Ho Xuan,744875.72,2025-06-29
19616330,Dinh Thi Thuy,8220287.64,2024-01-05
88572719,Le Van Hung,5514231.03,2024-12-18
31088993,Mai Thi Lan,9765503.84,2024-06-14
80664386,Hoang Ho Xuan,251207.61,2024-09-11
21505531,Vo Hoang Linh,5076148.33,2025-08-19
81775525,Pham Huu Khoa,7595548.91,2024-03-18
51954545,Dang Hoang Nam,1387416.08,2024-01-22
41474855,Hoang Huy Nguyen,5190802.29,2025-09-11
61694526,Ngo Thu Trang,6590002.66,2023-12-30
51685300,Ngo Thi B,6662821.02,2024-05-08
68224717,Hoang Quoc Anh,1207290.8,2024-07-02
75979884,Duong Ngoc Son,3189540.35,2025-02-09
51648705,Ngo Thi Kim,9674790.45,2024-06-12
25589366,Mai Hoang Nam,1075824.85,2024-10-11
53814643,Tran Thi Lan,8526217.79,2024-11-06
40158311,Hoang Thi Nga,5970976.25,2025-05-25
44656723,Lau Thanh Tung,4435076.38,2025-06-13
31468776,Tran Thi Thuy,9519866.04,2024-09-09
17149583,Le Van A,8613525.83,2024-08-05
58145852,Phan Minh Khang,1303072.9,2024-07-06
87642902,Duong Thi Nga,5260971.9,2025-03-14
90628320,Dinh Xuan Loc,6648634.77,2025-06-06
10669032,Dinh Bao An,799680.86,2025-09-19
78805073,Bui Gia Hung,4003353.85,2025-03-27
54694827,Hoang Thi Mai,4679645.8,2025-08-24
51858118,Do Van Dung,7453673.04,2025-07-12
42033922,Do Ngoc Anh,5827595.87,2024-06-28
67623687,Duong Thi B,3982116.95,2025-07-22
28448101,Ly Hoang Nam,9811612.55,2025-06-09
89811496,Bui Ngoc Anh,8916173.24,2024-02-14
50071132,Dang Thanh Tung,950659.66,2024-12-13
13251952,Trinh Van Hung,3732618.01,2025-01-21
37721520,Vu Huy Nguyen,454469.13,2023-11-12
72440672,Do Gia Hung,449906.01,2025-05-11
99837751,Ngo Thi Thuy,1835721.33,2024-02-11
18185618,Ngo Thi Mai,3028186.09,2025-06-18
18584239,Do Huu Khoa,1898547.92,2025-02-03
17921202,Le Hoang Linh,1291324.44,2025-01-19
25715633,Duong Thi B,7959015.82,2024-06-09
58569914,Le Ngoc Anh,4714516.04,2024-07-15
59241044,Dinh Gia Hung,2007814.62,2025-01-14
99274743,Pham Hoang Linh,1321468.16,2024-05-06
